id,cycle,report_date,item_in_doc,platform,market,language,category,title,initial_verdict,final_verdict,initial_class,final_class,retraction,reversal,root_cause,confidence,instrumentation_mediated,verification_methods,fix_commits,release,source_doc,notes
"F01","1","2026-07-16","1","backend","MX, CH, JP","es, de, fr, ja","functional","Profile empty after save (multi-market)","app_bug","app_bug","real-bug","real-bug","false","false","Profile reset on login was keyed by username, so a concurrent second login of the same shared test user wiped a profile another session had just saved before its 60s verification poll could read it; fixed by keying profiles to a per-login JWT sid claim.","confirmed","false","api-replay; local-repro; code-audit; test-suite","82d1b74","v1.1.4","EXPLANATION_qa_report_2026-07-16.md","Real backend bug whose manifestation depended on the harness running market scenarios in parallel as the same shared standard_user (a usage pattern, not a sanctioned state-injection mechanism — hence instrumentation_mediated=false per the flag definition in the paper (Methods, case-study coding)). Failed in MX/CH-de/CH-fr/JP, not US. Same latent race left un-fixed in cart/market session state (documented, out of scope)."
"F02","1","2026-07-16","2","build-artifact","n/a","n/a","build-packaging","APK signed with debug certificate","not_app_bug","not_app_bug","by-design","by-design","false","false","Release APK is signed with the default debug keystore because mobile-release.yml configures no release keystore; accepted by explicit user decision since the APK ships to GitHub Releases for Appium/Detox testing, not an app store.","confirmed","false","code-audit","","v1.1.4","EXPLANATION_qa_report_2026-07-16.md","Doc table shows Commit '—'; the low-risk sibling recommendation (minSdk raised to 29) was applied in c773043 independently of the signing decision. Covers 3 MobSF high findings."
"F03","1","2026-07-16","3","web","CH","de","localization","German add-to-cart button label regression","app_bug","app_bug","real-bug","real-bug","false","false","WCAG a11y migration cf8d2c9 switched the customizer confirm button to the shared addToCart i18n key, replacing the confirmed short label in all 5 languages; only German was caught because the new phrase is not a superstring of the old one there.","confirmed","false","bundle-inspection; live-dom-check; code-audit","fa6184d","v1.1.4","EXPLANATION_qa_report_2026-07-16.md","Fix restored short labels in de/es/fr/ja (es/fr/ja regressions were silent under contains-assertions); ar left untouched (no confirmed prior value)."
"F04","1","2026-07-16","4","web","all","all","visual-contrast","Insufficient color contrast on catalog","app_bug","app_bug","real-bug","real-bug","false","false","White bold text on brand orange #FF5722 (category chip, 3.16:1) and gray-500 pizza descriptions on #1E1E1E (3.44:1) fell below the WCAG AA 4.5:1 threshold; fixed to dark-on-orange and gray-400.","confirmed","false","code-plus-contrast-math","8b3e7d6","v1.1.4","EXPLANATION_qa_report_2026-07-16.md","Reported by axe-core. Same pattern noted (not fixed here) in Checkout.jsx delivery-time pills — later became the 07-18/07-20 contrast findings' family."
"F05","1","2026-07-16","5","web","all","n/a","security","Missing Content-Security-Policy header","app_bug","app_bug","real-bug","real-bug","false","false","render.yaml headers block (the mechanism actually governing the Render static site; nginx.conf only applies to docker-compose) shipped no CSP; an enforced policy allowing self plus the real external hosts was added.","confirmed","false","local-build-browser-validation; code-audit","63a133a","v1.1.4","EXPLANATION_qa_report_2026-07-16.md","Validated locally in a real browser (production build + exact headers) before deploy — zero CSP console violations."
"F06","1","2026-07-16","6","build-artifact","n/a","n/a","security","MobSF hygiene findings (APK static analysis)","not_app_bug","not_app_bug","third-party","third-party","false","false","MobSF flags trace to AndroidX/Expo/OkHttp library code (exported ProfileInstallReceiver, MD5 use, coil3/expo temp files) and a WebSocket RFC 6455 GUID misread as a hardcoded secret — not OmniPizza code; the one app-owned item (allowBackup=true) was fixed.","confirmed","false","code-audit; dependency-grep","c773043","v1.1.4","EXPLANATION_qa_report_2026-07-16.md","c773043 covers only the allowBackup sub-item (doc's verdict-table Commit column). Second alleged secret string not found anywhere in repo — neither confirmed nor ruled out; flagged as heuristic false-positive risk."
"F07","1","2026-07-16","7","web","all","all","a11y","Catalog page missing h1 heading","app_bug","app_bug","real-bug","real-bug","false","false","Neither the Catalog page nor its child components rendered any h1, failing axe page-has-heading-one; an sr-only h1 reusing the existing catalog i18n key was added.","confirmed","false","code-audit","8b3e7d6","v1.1.4","EXPLANATION_qa_report_2026-07-16.md","Same commit as F04 (shared web a11y fix commit)."
"F08","1","2026-07-16","8","web","all","n/a","security","Missing Strict-Transport-Security header","app_bug","app_bug","real-bug","real-bug","false","false","render.yaml headers block lacked HSTS; added max-age=63072000 with includeSubDomains (preload deliberately omitted as a hard-to-reverse commitment not requested).","confirmed","false","code-audit","a943483","v1.1.4","EXPLANATION_qa_report_2026-07-16.md",""
"F09","2","2026-07-18","1","backend","CH, JP, SA","de/fr, ja, ar","functional","Profile empty after save (CH/JP/SA)","not_app_bug","not_app_bug","harness-artifact","exonerated-unattributed","true","false","Backend exonerated twice empirically (8/8 then QA's 3 sequential single-token @api runs, all clean); initial 07-18 root cause (harness re-auth between save and verify) retracted on 07-19 after QA showed the @api path uses one token; remaining unconfirmed candidate is the harness UI-path seedProfile() empty-POST reset (mechanism verified live against Render) plus missing read-after-write poll.","candidate","candidate","api-replay; code-audit; qa-reverification; live-endpoint-probe","","v1.1.5","EXPLANATION_qa_report_2026-07-18.md","Retraction recorded in EXPLANATION_qa_report_2026-07-19.md (root cause changed, verdict unchanged). seedProfile candidate mechanism confirmed real via POST /api/profile {} probe; not confirmed as the actual trigger."
"F10","2","2026-07-18","2","web","all","all","functional","Checkout fields not clickable in responsive viewport","not_app_bug","not_app_bug","harness-artifact","exonerated-unattributed","true","false","Original 10/10 responsive click timeouts never reproduced; initial 07-18 root cause (harness selectors missing the -responsive testid suffix) retracted on 07-19 — checkout.wright.locators.json already had both viewport branches before the report; cause never identified (unconfirmed candidates: Render cold-start coinciding with that run, or a side-effect of contrast commit e6bfb9e).","unidentified","false","code-plus-live; qa-reverification","","v1.1.5","EXPLANATION_qa_report_2026-07-18.md","Retraction recorded in EXPLANATION_qa_report_2026-07-19.md. QA reran the full checkout flow twice (10/10 clean both). instrumentation_mediated=false reflects final understanding: the instrumentation hypothesis was the one retracted; both surviving candidates are non-instrumentation. Responsive-suffix table added to ATOMIC_WEB_TESTING.md kept despite retraction."
"F11","2","2026-07-18","3","web","CH","de, fr","visual-contrast","Insufficient contrast on CH catalog (DE/FR toggle)","app_bug","app_bug","real-bug","real-bug","false","false","CH-only DE/FR language toggle in Navbar kept the white-on-brand-orange pattern (3.16:1) that the 8b3e7d6 catalog fix never touched; one button is always active so it appeared identically in CH/de and CH/fr; fixed and extended by user decision into an app-wide contrast sweep on web and mobile.","confirmed","false","live-contrast-measurement; axe-core; qa-reverification","816c68c e6bfb9e 85afd81","v1.1.5","EXPLANATION_qa_report_2026-07-18.md","816c68c is the primary fix (the doc's '(este commit)' — it created the 07-18 doc and touches Navbar.jsx's 4 toggle occurrences + CartSidebar.jsx); e6bfb9e (web app-wide sweep) and 85afd81 (mobile mirror) are the same-finding user-decided extension. QA 07-19 re-verified: 0 contrast violations in 6 markets/languages plus first-ever Checkout audit (0 violations). Mobile mirror 85afd81 shipped as v1.1.5, not independently re-verified by QA."
"F12","4","2026-07-20","1","web","all","all","visual-contrast","Checkout inactive payment-method contrast violation","app_bug","app_bug","real-bug","real-bug","false","false","Inactive payment-method buttons apply opacity-60 to the whole subtree, compositing the individually-AA-compliant gray-400 description text down to 3.42:1 against the page background; the 07-18 sweep computed contrast on declared color pairs without compounding ancestor opacity — a method gap, not a missed file.","confirmed","false","axe-core; contrast-measurement; code-audit","fd73b6d","v1.1.7","EXPLANATION_qa_report_2026-07-20.md","Real axe-core 4.9.1 run reproduced QA's exact 2 nodes (Cash/PayPal descriptions) pre-fix, 0 post-fix. Reported in US but market-independent. Self-discovered siblings excluded from N per protocol: tip-info icon (same commit) and the mobile #666 16-occurrence gap (item 1b, commit b8c82d0)."
